name,acronym,rnc,token,email,website,slug,province_id,municip_id,sector_id,hood_id,phone,address,picture,recaudationCode,status_insti,created_at,updated_at
Oficina Gubernamental de Tecnologías de la Información y Comunicación,OGTIC,1233,c00fceab-3c1f-4f17-93cd-7711475d4e00,Info@ogtic.gob.do,www.ogtic.gob.do/,oficina-gubernamental-de-tecnologÃ­as-de-la-informaciÃ³n-y-comunicaciÃ³n,1,1,1,5,(809) 286-1009,AV 27 DE FEBRERO #419,https://psplbk.serviciosrd.gob.do/storage/logos/logo1.png,0024,1,2018-11-06 14:14:13,2022-04-04 12:41:03
Superintendencia del Mercado de Valores,SIMV,,fbfed923-fbcb-4b4c-a8be-892a9858127b,info@simv.gov.do,www.simv.gob.do,superintendencia-del-mercado-de-valores,1,1,1,53,(809) 221-4433,Santo Domingo,https://psplbk.serviciosrd.gob.do/storage/logos/logo6.png,0022,1,2018-11-06 14:14:13,2022-04-04 12:45:42
"Ministerio de Educación Superior, Ciencia y Tecnología",MESCYT,401505657,d97a2c56-a382-4e05-b69e-9bf75d838536,info@mescyt.gob.do,www.mescyt.gob.do/,"ministerio-de-educaciÃ³n-superior,-ciencia-y-tecnologÃ­a",1,1,1,38,(809) 731-1100,Santo Domingo,https://psplbk.serviciosrd.gob.do/storage/logos/logo7.png,0006,1,2018-11-06 14:14:13,2022-05-17 16:42:44
Corporación del Acueducto y Alcantarillado de Santo Domingo,CAASD,401036746,d97a2c56-a382-4e05-b69e-9bf75d838536,info@caasd.gob.do,www.caasd.gob.do/,corporaciÃ³n-del-acueducto-y-alcantarillado-de-santo-domingo,1,1,1,5,(809) 562-3500,Santo Domingo,https://psplbk.serviciosrd.gob.do/storage/logos/logo8.png,0006,1,2018-11-06 14:14:13,2022-05-19 16:07:17
Instituto Nacional de la Vivienda,INVI,401007428,d97a2c56-a382-4e05-b69e-9bf75d838536,info@mived.gob.do,www.mived.gob.do,instituto-nacional-de-la-vivienda,1,1,1,5,(809) 732-0600,AV. PEDRO HENRIQUEZ UREÑA ESQ. AV. ALMA MATER,https://psplbk.serviciosrd.gob.do/storage/logos/logo9.png,0006,1,2018-11-06 14:14:13,2022-04-04 12:38:22
Ministerio de Turismo,MITUR,401036819,c87f54f4-ff32-4b0e-9326-999954e80fd1,info@sectur.gov.do,www.mitur.gob.do,ministerio-de-turismo,1,1,1,5,(809) 221-4660,Santo Domingo,https://psplbk.serviciosrd.gob.do/storage/logos/logo10.png,0018,1,2018-11-06 14:14:13,2022-04-04 12:40:09
Dirección General de Impuestos Internos,DGII,401506254,d97a2c56-a382-4e05-b69e-9bf75d838536,info@dgii.gov.do,www.dgii.gov.do/,direcciÃ³n-general-de-impuestos-internos,1,1,1,5,(809) 689-2181,Santo Domingo,https://psplbk.serviciosrd.gob.do/storage/logos/logo11.png,0006,1,2018-11-06 14:14:13,2022-04-04 12:25:37
Ayuntamiento Municipal de Santo Domingo Este,ASDE,11111111,d97a2c56-a382-4e05-b69e-9bf75d838536,contacto@ayuntamientosde.gob.do,http://ayuntamientosde.gob.do/,ayuntamiento-municipal-de-santo-domingo-este,1,1,1,5,(809) 788-7676,Santo Domingo,https://psplbk.serviciosrd.gob.do/storage/logos/logo12.png,0006,1,2018-11-06 14:14:13,2019-04-10 19:23:47
Departamento Aeroportuario,DA,11111111,d97a2c56-a382-4e05-b69e-9bf75d838536,da@da.gob.do,www.da.gob.do,departamento-aeroportuario,1,1,1,5,(809) 549-1253,Santo Domingo,https://psplbk.serviciosrd.gob.do/storage/logos/logo13.png,0006,1,2018-11-06 14:14:14,2022-03-21 15:31:18
Instituto Nacional de Bienestar Magisterial,INABIMA,401517728,d97a2c56-a382-4e05-b69e-9bf75d838536,inabima@inabima.gob.do,www.inabima.gob.do/,instituto-nacional-de-bienestar-magisterial,1,1,1,53,(809) 686-6567,"AVE. MÁXIMO GÓMEZ #28, ZONA UNIVERSITARIA",https://psplbk.serviciosrd.gob.do/storage/logos/logo14.png,0006,1,2018-11-06 14:14:14,2022-04-04 12:34:56
Centro de Atención Integral para la Discapacidad,CAID,11111111,d97a2c56-a382-4e05-b69e-9bf75d838536,info@caid.gob.do,www.caid.gob.do,centro-de-atenciÃ³n-integral-para-la-discapacidad,1,1,1,11502,(849) 936-8787,Ave. Luperón casi esq. Enriquillo,https://psplbk.serviciosrd.gob.do/storage/logos/logo15.png,0006,1,2018-11-06 14:14:14,2022-04-04 12:24:32
Empresa Distribuidora de Electricidad del Sur,EDESUR,401981293843,d97a2c56-a382-4e05-b69e-9bf75d838536,info@edesur.gob.do,www.edesur.com.do,empresa-distribuidora-de-electricidad-del-sur,1,1,1,42,(809) 683-9292,Santo Domingo,https://psplbk.serviciosrd.gob.do/storage/logos/logo16.png,0006,1,2018-11-06 15:55:34,2022-04-04 12:32:02
